,threshold,accuracy,precision,recall,f1score
0,0.0,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
671,0.671,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
658,0.658,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
659,0.659,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
660,0.66,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
661,0.661,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
662,0.662,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
663,0.663,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
664,0.664,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
665,0.665,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
666,0.666,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
667,0.667,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
668,0.668,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
669,0.669,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
670,0.67,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
672,0.672,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
687,0.687,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
673,0.673,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
674,0.674,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
675,0.675,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
676,0.676,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
677,0.677,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
678,0.678,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
679,0.679,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
680,0.68,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
681,0.681,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
682,0.682,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
683,0.683,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
684,0.684,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
685,0.685,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
657,0.657,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
656,0.656,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
655,0.655,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
654,0.654,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
627,0.627,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
628,0.628,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
629,0.629,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
630,0.63,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
631,0.631,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
632,0.632,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
633,0.633,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
634,0.634,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
635,0.635,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
636,0.636,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
637,0.637,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
638,0.638,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
639,0.639,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
640,0.64,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
641,0.641,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
642,0.642,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
643,0.643,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
644,0.644,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
645,0.645,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
646,0.646,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
647,0.647,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
648,0.648,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
649,0.649,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
650,0.65,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
651,0.651,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
652,0.652,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
653,0.653,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
686,0.686,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
688,0.6880000000000001,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
1,0.001,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
734,0.734,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
721,0.721,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
722,0.722,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
723,0.723,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
724,0.724,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
725,0.725,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
726,0.726,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
727,0.727,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
728,0.728,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
729,0.729,0.8852293945052014,0.8846272666218938,0.9997571212799709,0.9386751611420509
